-0.710,-2.151,0.257,-42.969,27.893,-17.456
-0.700,-2.358,0.394,-47.485,28.015,-23.743
-0.621,-2.625,0.534,-44.128,25.391,-26.306
-0.508,-2.882,0.671,-31.555,18.799,-29.358
-0.368,-3.093,0.774,-13.184,6.348,-39.490
-0.169,-3.293,0.821,4.944,-11.292,-58.960
0.035,-3.469,0.755,19.653,-34.485,-86.609
0.268,-3.542,0.630,26.367,-57.922,-117.920
0.482,-3.541,0.446,28.198,-77.393,-146.851
0.673,-3.476,0.252,30.029,-87.463,-171.509
0.826,-3.318,0.115,33.447,-87.463,-193.237
0.940,-3.099,0.048,41.077,-75.989,-211.609
1.040,-2.950,0.086,51.453,-58.899,-225.464
1.123,-2.795,0.149,58.899,-41.809,-236.023
1.159,-2.584,0.212,64.514,-28.625,-246.460
1.186,-2.356,0.304,70.313,-20.081,-258.789
1.194,-2.151,0.393,74.890,-17.212,-271.912
1.181,-1.897,0.433,72.571,-18.311,-286.133
1.156,-1.626,0.429,64.148,-20.020,-301.758
1.119,-1.369,0.419,55.847,-21.973,-313.660
1.090,-1.121,0.418,51.392,-24.963,-317.749
1.045,-0.901,0.388,48.767,-27.466,-316.345
0.984,-0.724,0.375,46.082,-30.884,-313.354
0.960,-0.608,0.357,44.128,-34.546,-311.646
0.942,-0.507,0.339,44.250,-39.612,-310.974
0.927,-0.396,0.278,44.128,-45.105,-310.364
0.891,-0.291,0.231,43.030,-52.185,-307.922
0.857,-0.173,0.152,42.725,-57.617,-304.382
0.830,-0.059,0.078,41.321,-56.885,-301.514
0.776,0.076,0.011,37.415,-51.819,-297.913
0.678,0.209,-0.041,31.372,-44.006,-290.771
0.571,0.308,-0.065,26.917,-35.522,-279.419
0.485,0.376,-0.058,24.231,-26.855,-264.648
0.391,0.410,-0.042,23.010,-19.226,-247.192
0.311,0.458,-0.017,24.475,-14.343,-226.807
0.218,0.493,0.003,26.367,-16.418,-205.444
0.146,0.529,0.007,29.968,-22.095,-185.303
0.095,0.534,-0.010,32.288,-27.161,-168.884
