-0.495,2.226,0.484,-27.344,31.250,5.615
-0.504,2.443,0.613,3.418,30.823,41.321
-0.469,2.594,0.637,34.302,27.771,79.407
-0.401,2.761,0.716,55.542,20.142,112.549
-0.323,2.843,0.724,66.223,11.963,136.230
-0.233,2.879,0.697,64.636,5.615,152.039
-0.088,2.917,0.748,52.307,-1.404,161.011
0.006,2.823,0.695,38.452,-3.235,166.016
0.159,2.771,0.688,21.851,-0.671,172.241
0.254,2.675,0.715,4.211,-0.061,179.565
0.388,2.544,0.702,-5.432,3.174,187.988
0.476,2.344,0.689,-4.211,1.953,202.148
0.542,2.152,0.681,5.005,-4.089,219.910
0.599,2.022,0.686,21.362,-10.376,240.845
0.630,1.917,0.687,38.940,-18.433,258.301
0.634,1.785,0.650,49.500,-28.809,272.034
0.628,1.643,0.591,47.791,-39.978,283.386
0.644,1.479,0.536,33.813,-49.133,290.649
0.659,1.327,0.489,9.644,-53.955,289.734
0.658,1.201,0.419,-18.372,-55.359,280.579
0.661,1.026,0.346,-45.776,-55.176,265.686
0.611,0.822,0.299,-66.895,-54.077,251.526
0.554,0.673,0.266,-75.806,-52.063,243.835
0.525,0.539,0.245,-70.251,-50.842,240.417
0.488,0.424,0.221,-53.467,-55.176,240.723
0.468,0.335,0.196,-32.349,-60.913,243.408
0.466,0.259,0.156,-11.902,-64.209,242.126
0.453,0.184,0.122,1.526,-65.918,232.788
0.432,0.150,0.108,6.531,-67.078,220.398
0.402,0.121,0.079,7.202,-70.129,208.374
0.367,0.057,0.064,7.202,-74.890,197.571
0.354,0.027,0.051,6.775,-77.759,188.965
0.369,-0.026,0.035,6.714,-76.538,180.054
0.315,-0.086,-0.023,8.911,-71.167,171.448
0.231,-0.135,-0.073,10.864,-59.753,163.513
0.188,-0.160,-0.076,11.169,-45.105,156.677
0.131,-0.174,-0.070,12.207,-31.677,149.963
0.048,-0.218,-0.080,18.066,-21.484,142.761
-0.018,-0.303,-0.113,30.396,-13.550,134.766
-0.074,-0.336,-0.058,47.607,-9.460,125.244
-0.132,-0.413,-0.160,76.660,-8.545,111.938
-0.197,-0.430,-0.193,103.516,-12.207,96.252
-0.270,-0.448,-0.332,105.530,-18.127,81.177
-0.328,-0.394,-0.196,58.960,-28.931,68.481
-0.389,-0.334,-0.148,30.518,-32.898,56.458
-0.469,-0.280,-0.112,8.362,-35.034,48.462
-0.526,-0.221,-0.099,-5.066,-33.447,42.908
-0.568,-0.167,-0.093,-8.789,-27.039,36.621
-0.609,-0.132,-0.084,-6.226,-19.226,28.992
-0.661,-0.108,-0.071,-0.732,-11.780,22.522
-0.702,-0.078,-0.041,5.798,-5.371,18.066
-0.742,-0.033,-0.013,12.085,-0.305,14.893
-0.775,-0.010,0.004,17.395,2.625,12.024
-0.810,0.003,0.013,22.766,4.517,8.972
-0.831,0.018,0.020,28.870,6.348,4.944
-0.857,0.049,0.027,31.494,5.981,0.854
-0.885,0.080,0.058,28.687,1.709,-2.197
-0.909,0.113,0.081,22.156,-3.967,-3.357
-0.917,0.146,0.100,13.977,-8.423,-3.540
-0.934,0.185,0.113,6.897,-10.193,-3.540
-0.950,0.230,0.115,2.808,-9.033,-3.601
-0.959,0.267,0.121,1.587,-7.141,-2.869
-0.957,0.300,0.120,0.549,-4.456,-1.038
-0.956,0.311,0.110,-2.380,-0.366,-0.244
-0.954,0.317,0.106,-7.690,4.761,-1.831
-0.951,0.313,0.101,-14.221,9.583,-4.761
-0.958,0.317,0.110,-20.081,13.000,-8.423
-0.960,0.313,0.115,-22.766,13.977,-10.498
-0.970,0.308,0.117,-22.461,12.390,-10.559
-0.969,0.303,0.125,-18.616,8.423,-8.850
-0.954,0.294,0.126,-11.963,3.967,-6.653
-0.941,0.285,0.128,-3.052,0.244,-4.578
-0.934,0.295,0.123,6.897,-2.014,-3.540
-0.932,0.299,0.123,14.709,-4.211,-3.357
-0.947,0.314,0.131,20.203,-5.432,-3.174
-0.945,0.330,0.131,24.292,-4.944,-2.930
-0.943,0.338,0.136,24.841,-3.723,-2.075
-0.938,0.342,0.141,21.301,-1.160,-1.221
-0.934,0.338,0.149,15.503,1.465,-1.648
-0.933,0.340,0.155,8.484,3.601,-2.747
-0.936,0.330,0.151,1.526,4.700,-4.089
-0.943,0.316,0.148,-3.235,4.883,-5.127
-0.944,0.299,0.139,-4.517,4.944,-4.883
-0.943,0.286,0.141,-2.747,4.395,-3.906
-0.941,0.279,0.127,1.526,2.747,-2.930
-0.944,0.273,0.125,7.202,0.366,-1.648
-0.935,0.288,0.123,12.573,-1.526,-0.305
-0.926,0.292,0.127,15.015,-2.502,1.648
-0.912,0.311,0.153,14.587,-1.465,3.296
-0.947,0.294,0.128,10.986,0.427,2.686
-0.940,0.303,0.159,4.944,1.404,1.282
-0.955,0.288,0.147,-0.732,1.038,-1.221
-0.960,0.286,0.141,-3.174,0.916,-2.747
-0.958,0.287,0.135,-3.052,0.610,-2.930
-0.958,0.296,0.129,-1.038,1.038,-2.197
-0.956,0.299,0.124,0.427,1.465,-1.343
-0.955,0.309,0.126,0.122,2.075,-0.610
-0.958,0.313,0.126,-1.099,1.770,-0.305
-0.958,0.306,0.126,-3.296,0.854,0.122
-0.950,0.297,0.128,-5.310,-0.305,0.000
-0.944,0.292,0.124,-6.226,-0.977,-0.488
-0.940,0.298,0.126,-6.958,-0.916,-1.038
-0.937,0.304,0.121,-7.324,-0.488,-1.221
-0.928,0.296,0.119,-6.714,0.122,-0.916
-0.929,0.295,0.119,-4.578,1.160,-0.793
-0.927,0.295,0.115,-1.709,1.892,-0.549
-0.925,0.298,0.117,1.343,2.197,0.671
-0.922,0.295,0.116,3.479,2.502,2.197
-0.926,0.299,0.118,4.395,2.930,3.052
-0.928,0.297,0.126,4.333,2.869,2.686
-0.928,0.302,0.135,3.784,2.625,2.014
-0.930,0.302,0.137,2.502,2.380,1.221
-0.934,0.302,0.135,1.099,2.380,0.427
-0.935,0.299,0.133,0.122,2.319,-0.549
-0.935,0.296,0.130,-0.244,1.831,-1.343
-0.935,0.301,0.130,-0.427,1.343,-1.648
-0.936,0.301,0.129,-0.122,0.854,-1.770
-0.934,0.299,0.130,0.610,0.061,-1.404
-0.932,0.297,0.131,1.099,-0.488,-0.671
-0.210,1.984,0.402,-43.030,23.193,-18.982
-0.212,2.026,0.449,-42.480,32.104,-17.578
-0.212,2.054,0.500,-34.363,39.978,-15.381
-0.246,2.122,0.574,-25.818,42.664,-10.803
-0.274,2.163,0.612,-22.339,36.011,0.427
-0.198,2.223,0.640,-21.851,25.208,19.348
-0.111,2.278,0.650,-19.165,15.137,39.429
-0.055,2.302,0.608,-18.188,5.920,52.246
0.016,2.293,0.563,-25.024,-2.014,57.373
0.046,2.260,0.509,-37.048,-10.132,59.631
0.115,2.217,0.404,-47.791,-13.306,65.002
0.200,2.200,0.353,-46.692,-7.812,82.336
0.243,2.155,0.303,-28.381,6.287,112.061
0.344,2.075,0.289,-5.127,18.555,144.836
0.409,1.926,0.268,13.916,22.339,171.204
0.505,1.744,0.266,31.006,19.043,189.758
0.554,1.578,0.220,48.035,11.841,198.181
0.559,1.476,0.138,61.401,3.906,200.867
0.574,1.395,0.053,63.416,-6.042,202.148
0.574,1.329,0.037,54.871,-16.174,202.209
0.576,1.189,0.075,41.626,-22.278,196.167
0.516,1.104,0.096,22.278,-31.921,191.895
