aX1,aY1,aZ1,gX1,gY1,gZ1,aX2,aY2,aZ2,gX2,gY2,gZ2
0.534,0.189,-0.789,-6.226,14.771,14.221,0.349,-0.559,-0.683,11.169,-1.77,10.071
0.524,0.214,-0.825,-8.728,15.137,10.132,0.344,-0.544,-0.695,13.794,-0.854,9.094
0.521,0.226,-0.846,-9.644,15.015,6.165,0.352,-0.539,-0.701,15.015,3.479,7.324
0.532,0.221,-0.873,-7.568,15.503,2.93,0.337,-0.537,-0.724,15.076,7.69,4.15
0.547,0.208,-0.899,-3.845,16.052,-0.366,0.323,-0.535,-0.756,15.564,10.132,1.831
0.568,0.182,-0.909,0.061,15.076,-2.075,0.341,-0.547,-0.782,15.93,11.108,2.991
0.583,0.144,-0.899,3.479,11.963,-2.686,0.34,-0.545,-0.802,15.503,10.01,4.028
0.588,0.106,-0.881,5.188,8.423,-2.197,0.347,-0.552,-0.807,15.93,7.446,4.761
0.581,0.089,-0.857,4.761,4.883,-0.793,0.36,-0.558,-0.812,17.212,3.418,7.324
0.577,0.092,-0.831,2.502,1.587,1.099,0.373,-0.554,-0.814,17.7,-0.671,9.155
0.567,0.099,-0.813,-0.793,-0.244,2.625,0.383,-0.552,-0.806,17.212,-3.906,9.949
0.557,0.129,-0.821,-3.113,-0.549,4.272,0.387,-0.543,-0.794,14.893,-5.859,10.01
0.554,0.156,-0.823,-3.784,-1.099,4.089,0.396,-0.527,-0.773,11.658,-5.493,9.338
0.549,0.174,-0.831,-3.296,-1.648,2.747,0.41,-0.516,-0.76,8.484,-2.625,7.69
0.55,0.181,-0.83,-1.465,-2.075,0.549,0.425,-0.522,-0.748,7.385,0.061,5.31
0.555,0.168,-0.822,1.77,-1.648,-1.343,0.428,-0.528,-0.749,7.751,1.77,2.563
0.566,0.147,-0.816,5.005,-0.305,-2.38,0.431,-0.526,-0.757,8.911,2.991,0.61
0.572,0.125,-0.808,6.775,1.221,-2.808,0.43,-0.528,-0.767,10.498,3.906,-0.916
0.589,0.102,-0.8,7.385,2.014,-3.052,0.423,-0.529,-0.786,11.841,4.456,-2.014
0.598,0.095,-0.803,6.409,2.808,-3.113,0.418,-0.533,-0.805,12.146,5.127,-2.38
0.601,0.092,-0.798,3.784,4.272,-2.747,0.412,-0.535,-0.821,12.085,5.615,-2.319
0.599,0.089,-0.81,1.587,6.226,-1.831,0.406,-0.536,-0.828,11.23,5.615,-2.258
0.604,0.098,-0.825,0.122,8.057,-0.244,0.396,-0.536,-0.834,11.047,4.822,-1.953
0.599,0.11,-0.844,-0.366,9.033,1.404,0.385,-0.538,-0.844,10.742,3.235,-1.709
0.589,0.126,-0.864,-0.061,9.094,2.991,0.374,-0.536,-0.848,9.949,1.77,-1.648
0.571,0.155,-0.877,0.977,8.423,4.211,0.368,-0.539,-0.853,8.362,1.282,-1.953
0.556,0.184,-0.884,2.869,6.714,4.333,0.364,-0.542,-0.85,6.714,1.038,-2.563
0.547,0.186,-0.88,4.15,4.944,3.418,0.354,-0.541,-0.844,4.7,0.671,-3.418
0.545,0.181,-0.871,4.7,3.54,2.563,0.354,-0.538,-0.831,3.296,0.488,-4.272
0.544,0.173,-0.863,5.31,2.747,1.709,0.356,-0.535,-0.819,2.258,0.488,-5.554
0.548,0.168,-0.852,5.127,1.77,1.16,0.349,-0.541,-0.804,1.953,0.732,-6.653
0.548,0.163,-0.837,4.7,1.16,0.671,0.339,-0.541,-0.799,1.953,1.221,-6.775
0.556,0.151,-0.83,4.333,1.221,0.244,0.33,-0.534,-0.798,2.136,1.892,-5.615
0.559,0.146,-0.821,3.54,1.77,0.061,0.329,-0.528,-0.791,1.343,2.869,-4.272
0.56,0.14,-0.822,3.296,2.319,-0.183,0.328,-0.526,-0.788,0.793,3.052,-2.747
