aX1,aY1,aZ1,gX1,gY1,gZ1,aX2,aY2,aZ2,gX2,gY2,gZ2
0.06,0.141,0.788,12.024,-17.273,-17.273,0.179,-0.096,0.824,21.057,3.845,26.855
0.048,0.104,0.806,4.15,-13.794,-13.977,0.181,-0.065,0.823,17.578,2.686,26.489
0.044,0.087,0.814,-4.883,-9.949,-11.658,0.191,-0.044,0.836,13.062,1.282,25.146
0.05,0.084,0.817,-13.123,-5.188,-10.071,0.219,-0.027,0.856,8.057,0.061,23.621
0.065,0.073,0.81,-18.005,0.0,-8.179,0.239,-0.01,0.869,3.906,-1.16,21.667
0.073,0.046,0.803,-18.86,4.639,-6.409,0.253,-0.0,0.895,-0.366,-2.197,17.395
0.069,0.009,0.809,-15.564,7.507,-4.7,0.248,0.01,0.926,-4.272,-2.563,11.841
0.058,-0.03,0.822,-8.179,8.789,-3.845,0.236,0.026,0.953,-7.202,-2.563,6.775
0.059,-0.068,0.851,1.892,8.484,-3.357,0.239,0.054,0.983,-8.484,-2.136,2.563
0.045,-0.108,0.9,13.306,7.263,-2.563,0.235,0.09,1.006,-9.033,-2.136,-1.221
0.028,-0.154,0.958,23.743,5.493,-1.282,0.199,0.134,1.052,-7.69,-2.563,-4.028
0.015,-0.194,1.01,28.32,4.395,-0.488,0.168,0.159,1.071,-2.869,-1.587,-6.348
-0.004,-0.218,1.054,26.123,4.211,-0.305,0.156,0.166,1.054,3.784,1.953,-7.202
-0.016,-0.231,1.078,18.982,5.188,-1.16,0.144,0.159,1.033,9.399,4.456,-6.653
-0.018,-0.232,1.082,9.583,6.531,-2.441,0.135,0.149,1.018,12.878,4.639,-4.822
-0.01,-0.211,1.065,0.366,8.24,-4.15,0.127,0.136,1.0,14.648,4.822,-2.747
0.007,-0.182,1.038,-5.92,9.338,-6.104,0.125,0.117,0.98,15.259,4.578,-0.183
0.033,-0.149,1.008,-7.568,8.606,-7.446,0.128,0.088,0.965,14.16,4.15,2.93
0.054,-0.118,0.996,-4.211,5.615,-7.568,0.137,0.068,0.952,11.902,3.418,6.47
0.062,-0.109,0.995,1.892,0.854,-6.47,0.164,0.041,0.952,9.216,3.174,9.033
0.07,-0.109,1.001,7.996,-3.174,-4.272,0.201,0.025,0.95,6.531,2.869,10.071
0.071,-0.104,1.003,10.986,-4.822,-2.38,0.221,0.01,0.945,3.723,1.953,8.789
0.065,-0.1,1.011,11.292,-4.944,-0.61,0.227,-0.008,0.949,0.488,0.244,5.066
0.07,-0.099,1.01,10.01,-4.15,0.244,0.235,-0.002,0.956,-2.075,-1.648,1.221
0.081,-0.105,1.004,7.202,-3.113,0.793,0.236,0.008,0.965,-3.235,-2.38,-2.502
0.082,-0.115,1.0,3.662,-2.563,1.892,0.222,0.018,0.969,-2.747,-1.831,-6.653
0.068,-0.12,0.984,0.854,-2.319,3.235,0.211,0.033,0.964,-2.441,-0.793,-10.193
0.052,-0.128,0.962,-1.892,-1.709,3.784,0.198,0.057,0.969,-3.113,-0.977,-12.024
0.038,-0.132,0.944,-3.418,-1.343,3.784,0.179,0.078,0.978,-3.723,-1.221,-12.878
0.025,-0.13,0.926,-3.235,-1.526,2.93,0.162,0.096,0.977,-3.601,-0.793,-13.0
0.021,-0.127,0.917,-2.014,-1.404,1.282,0.153,0.108,0.976,-3.174,0.061,-12.207
0.02,-0.127,0.916,0.366,-1.404,-0.122,0.143,0.118,0.973,-2.93,0.671,-10.742
0.025,-0.131,0.924,3.052,-1.282,-1.099,0.134,0.122,0.971,-2.38,1.16,-8.972
0.03,-0.131,0.938,4.395,-0.854,-1.953,0.129,0.125,0.97,-1.526,1.648,-6.714
0.037,-0.131,0.947,4.517,0.0,-2.563,0.13,0.128,0.955,-0.61,1.892,-4.211
0.051,-0.132,0.952,3.967,0.61,-3.052,0.132,0.115,0.962,0.122,1.953,-2.38
0.058,-0.131,0.955,3.052,1.282,-3.113,0.129,0.101,0.967,0.61,2.319,-0.305
0.07,-0.126,0.957,2.258,1.831,-2.747,0.138,0.105,0.962,1.221,3.784,2.869
0.081,-0.13,0.957,2.197,1.465,-2.014,0.164,0.108,0.953,2.38,5.005,5.371
0.085,-0.132,0.955,1.343,0.488,-0.549,0.186,0.094,0.952,3.235,3.784,5.981
0.074,-0.128,0.95,-0.122,0.549,1.221,0.196,0.078,0.962,2.869,0.793,5.432
0.064,-0.125,0.949,-1.404,1.038,2.38,0.199,0.065,0.981,1.77,-1.648,4.761
0.06,-0.124,0.943,-2.441,1.953,2.441,0.201,0.058,0.989,0.427,-2.625,4.089
0.057,-0.118,0.939,-2.38,2.441,2.319,0.191,0.053,0.991,-0.549,-2.869,3.54
0.056,-0.114,0.938,-1.221,2.686,2.258,0.188,0.059,0.993,-0.488,-2.625,3.54
