aX,aY,aZ,gX,gY,gZ
0.435,1.957,1.000,106.934,-39.734,29.358
0.470,1.806,1.323,132.202,-57.068,52.490
0.598,1.597,1.588,130.554,-65.308,77.393
0.714,1.371,1.788,99.915,-60.913,104.065
0.758,1.067,1.893,45.227,-48.889,130.859
0.869,0.766,1.795,-20.752,-33.386,156.189
0.902,0.507,1.553,-79.041,-20.996,179.871
0.753,0.205,1.205,-113.525,-18.677,199.036
0.568,-0.157,0.901,-117.371,-22.217,205.505
0.478,-0.508,0.654,-93.872,-26.306,194.763
0.465,-0.841,0.578,-53.040,-31.555,171.936
0.515,-1.219,0.637,-11.047,-35.950,149.841
0.538,-1.604,0.771,12.268,-35.339,136.230
0.507,-1.904,0.911,12.207,-28.320,129.333
0.476,-2.197,0.974,-6.104,-16.968,123.657
0.457,-2.541,0.972,-35.950,-3.174,118.896
0.355,-2.834,0.927,-66.895,13.245,117.676
1.086,-4.000,3.135,-103.149,32.593,115.051
-2.544,-2.361,-0.227,-304.932,122.864,27.405
-1.133,-1.562,-0.556,-280.823,107.117,-58.044
0.871,-3.067,0.649,14.160,-23.682,-59.509
0.249,-3.856,2.054,128.479,-52.917,-62.622
-0.168,-2.755,0.636,0.366,17.822,-45.410
-0.323,-2.287,0.641,-68.115,25.452,-65.125
-0.101,-2.125,0.807,-69.397,16.113,-103.088
0.127,-1.811,0.765,-40.222,24.292,-131.042
0.197,-1.562,0.861,-17.944,32.776,-146.362
0.272,-1.340,1.003,-18.677,35.034,-154.846
0.404,-1.021,1.088,-20.630,32.410,-159.546
0.562,-0.691,1.143,-15.503,28.442,-161.926
0.683,-0.436,1.201,-3.418,20.691,-160.034
0.781,-0.207,1.248,9.644,11.108,-152.222
0.843,0.083,1.283,21.484,4.517,-140.381
0.910,0.373,1.305,32.471,0.061,-129.272
0.945,0.625,1.309,41.809,-3.784,-116.394
0.909,0.875,1.264,46.082,-6.775,-101.440
0.814,1.135,1.192,44.861,-8.118,-87.891
0.719,1.318,1.119,42.053,-8.301,-75.867
0.634,1.483,1.069,37.903,-5.005,-61.768
0.624,1.545,1.023,34.363,-0.916,-46.997
0.549,1.547,1.055,31.738,-3.662,-39.001
0.474,1.509,1.060,28.015,-9.460,-32.654
0.389,1.516,1.029,21.606,-15.015,-31.067
0.335,1.522,0.971,18.738,-20.020,-29.968
0.286,1.442,0.915,22.034,-22.034,-26.001
0.258,1.330,0.892,28.259,-21.790,-20.935
0.239,1.164,0.910,34.424,-20.935,-12.878
0.192,1.007,0.926,35.156,-19.348,-2.869
0.143,0.851,0.924,29.785,-17.517,6.897
0.096,0.710,0.890,20.813,-15.442,14.648
0.052,0.563,0.845,10.437,-11.658,20.142
0.018,0.429,0.811,2.197,-7.568,22.888
-0.009,0.300,0.792,-1.770,-6.531,23.132
-0.031,0.165,0.779,-1.709,-7.446,21.729
-0.043,0.034,0.797,1.221,-9.399,18.372
-0.034,-0.061,0.830,5.737,-10.071,15.686
-0.031,-0.155,0.884,9.155,-13.611,13.000
-0.046,-0.238,0.922,9.155,-19.470,9.094
-0.047,-0.273,0.921,3.906,-18.250,5.615
-0.045,-0.271,0.896,-2.625,-13.428,2.441
-0.041,-0.257,0.872,-7.629,-8.911,-0.732
-0.041,-0.252,0.873,-10.437,-6.226,-3.052
-0.023,-0.240,0.878,-11.597,-5.493,-4.639
0.007,-0.215,0.886,-12.024,-3.296,-5.920
0.036,-0.189,0.889,-10.925,0.061,-5.859
0.056,-0.166,0.901,-8.362,1.953,-4.456
0.059,-0.164,0.922,-5.371,2.563,-2.747
0.057,-0.146,0.939,-3.784,3.601,-0.671
0.057,-0.132,0.950,-3.479,5.066,0.732
0.054,-0.120,0.953,-4.211,7.324,1.770
0.056,-0.115,0.948,-4.211,9.583,2.502
0.054,-0.123,0.949,-2.625,10.376,2.930
0.039,-0.133,0.958,0.000,9.949,3.052
0.029,-0.140,0.969,3.784,8.545,2.502
0.029,-0.148,0.980,8.118,5.798,1.892
0.016,-0.145,0.991,11.963,2.502,1.404
0.006,-0.150,1.001,15.259,0.183,0.854
-0.005,-0.163,1.022,16.541,-1.526,-0.305
-0.001,-0.166,1.031,13.794,-1.831,-2.258
0.007,-0.155,1.031,8.545,-0.671,-3.418
0.014,-0.136,1.021,3.174,0.488,-4.395
0.031,-0.126,1.012,-0.244,1.038,-5.310
0.046,-0.117,1.001,-2.502,0.854,-5.432
0.040,-0.104,0.984,-4.578,-0.183,-5.188
0.040,-0.095,0.961,-5.310,-1.404,-5.493
0.048,-0.082,0.937,-4.761,-2.014,-5.127
0.053,-0.073,0.924,-2.197,-2.502,-4.395
0.061,-0.067,0.916,0.977,-3.479,-3.723
0.071,-0.069,0.916,4.517,-4.150,-2.686
0.069,-0.081,0.933,7.263,-3.906,-1.099
0.060,-0.090,0.938,6.531,-2.441,0.366
0.061,-0.096,0.948,4.333,-0.549,1.465
0.072,-0.097,0.944,2.014,1.404,2.686
0.067,-0.100,0.946,0.000,3.296,4.150
0.053,-0.102,0.953,-0.854,4.272,5.493
0.044,-0.108,0.960,-1.160,4.883,5.798
0.045,-0.110,0.966,-1.221,5.798,5.127
0.048,-0.113,0.972,-0.793,5.981,4.639
0.041,-0.117,0.978,-0.183,5.310,4.333
0.040,-0.119,0.979,0.122,4.761,3.784
0.039,-0.123,0.976,0.671,3.906,3.357
0.035,-0.126,0.966,1.343,3.113,3.174
0.028,-0.127,0.961,1.892,2.869,2.991
0.025,-0.131,0.963,3.235,2.747,2.380
0.034,-0.133,0.968,4.456,2.441,1.648
0.037,-0.131,0.973,4.639,1.648,0.916
0.035,-0.130,0.977,3.967,0.977,0.610
0.043,-0.128,0.977,2.563,0.610,0.244
0.050,-0.124,0.974,0.977,0.854,0.000
0.053,-0.119,0.968,-0.183,1.099,-0.244
0.060,-0.111,0.970,-0.732,0.793,-0.183
0.068,-0.108,0.973,-1.099,0.366,0.000
0.073,-0.101,0.971,-1.709,-0.061,0.488
0.075,-0.097,0.967,-2.441,-0.488,1.465
0.071,-0.090,0.960,-3.113,-0.916,2.502
0.065,-0.089,0.954,-2.869,-1.343,3.601
0.057,-0.090,0.940,-2.258,-1.221,4.517
0.046,-0.094,0.934,-1.038,-0.671,4.944
0.691,-1.260,1.019,-2.625,0.854,118.591
0.482,-1.667,1.004,-3.296,-5.676,123.657
0.304,-2.060,1.003,-8.362,-8.972,121.094
0.142,-2.377,1.045,-13.611,-7.446,112.061
0.009,-2.624,1.078,-18.494,-2.136,94.727
-0.073,-2.736,1.076,-26.184,3.540,70.984
-0.106,-2.739,1.023,-35.522,6.592,45.166
-0.121,-3.187,1.221,-43.457,8.423,27.344
-0.265,-1.918,0.637,-76.172,21.545,16.235
-0.154,-2.509,0.505,-64.148,16.174,-24.902
-0.183,-2.317,0.624,-17.944,-0.916,-34.973
-0.269,-2.055,0.546,-4.028,0.916,-39.429
-0.228,-1.952,0.574,-0.610,0.977,-55.237
-0.218,-1.769,0.615,7.996,3.540,-67.078
-0.198,-1.627,0.727,16.113,8.667,-79.346
-0.091,-1.453,0.875,17.700,18.127,-92.346
0.090,-1.246,0.985,14.709,27.527,-103.760
0.225,-1.038,1.082,12.451,30.945,-109.558
0.343,-0.827,1.186,12.817,29.419,-108.398
0.480,-0.619,1.254,16.052,24.414,-102.966
0.564,-0.451,1.332,24.292,15.198,-94.238
0.597,-0.313,1.404,34.607,4.395,-82.642
0.581,-0.166,1.478,40.161,-2.747,-71.960
0.558,-0.015,1.512,39.368,-3.967,-65.186
0.539,0.135,1.503,33.752,-1.343,-61.951
0.521,0.307,1.426,26.367,1.221,-60.547
0.487,0.460,1.334,20.569,0.610,-59.021
0.438,0.594,1.230,16.235,-0.671,-55.786
0.366,0.730,1.130,13.550,-0.793,-51.208
0.300,0.821,1.030,13.428,-1.892,-47.668
0.209,0.871,0.994,16.174,-4.822,-47.791
0.170,0.889,0.967,21.606,-9.338,-51.880
0.138,0.915,0.991,27.466,-15.198,-58.838
0.140,0.908,1.022,33.569,-19.226,-62.256
0.143,0.870,1.055,36.194,-18.555,-61.951
0.152,0.819,1.071,34.973,-15.686,-59.204
0.159,0.757,1.076,31.494,-15.625,-54.932
0.145,0.679,1.078,25.513,-18.005,-49.133
0.115,0.608,1.058,14.954,-17.212,-41.992
0.082,0.572,1.015,1.892,-12.512,-35.156
0.061,0.549,0.957,-9.583,-10.132,-31.372
0.039,0.512,0.886,-18.250,-11.169,-29.236
0.019,0.483,0.807,-24.292,-12.451,-27.100
0.013,0.462,0.729,-27.588,-12.085,-24.414
0.011,0.442,0.665,-25.635,-13.672,-22.278
0.002,0.417,0.617,-17.395,-15.442,-19.226
-0.016,0.374,0.597,-6.653,-14.099,-15.930
-0.038,0.307,0.615,4.639,-11.475,-13.367
-0.033,0.208,0.664,14.648,-9.033,-12.085
-0.032,0.108,0.724,19.836,-6.104,-10.498
-0.039,0.031,0.781,20.142,-2.808,-8.728
-0.026,-0.024,0.830,17.212,0.916,-7.141
-0.019,-0.058,0.872,11.414,2.991,-5.615
-0.014,-0.070,0.887,4.761,3.662,-4.089
-0.016,-0.068,0.890,-1.526,4.700,-2.625
-0.020,-0.056,0.893,-6.531,6.226,-1.343
-0.018,-0.038,0.893,-9.521,8.484,-0.854
0.004,-0.023,0.891,-8.728,10.986,-0.366
0.036,-0.020,0.895,-4.333,11.780,0.427
0.051,-0.036,0.921,2.563,10.925,2.930
0.045,-0.071,0.959,9.460,10.010,6.104
0.028,-0.117,1.000,13.428,8.789,8.484
0.013,-0.165,1.026,14.099,7.690,9.277
0.003,-0.200,1.042,12.512,7.324,9.216
0.002,-0.221,1.049,9.033,7.507,8.423
0.000,-0.229,1.051,4.822,7.263,7.385
0.002,-0.229,1.047,1.404,6.348,6.165
0.005,-0.227,1.035,-0.793,5.249,4.639
0.006,-0.223,1.021,-2.014,4.089,3.418
-0.001,-0.223,1.014,-1.892,3.052,2.747
-0.001,-0.213,1.012,-1.770,1.892,1.343
0.006,-0.200,1.009,-1.343,0.732,-0.305
0.014,-0.186,1.001,-0.610,-0.671,-1.404
0.016,-0.171,0.990,0.366,-2.258,-1.770
0.014,-0.163,0.985,1.709,-3.601,-1.343
0.010,-0.161,0.989,3.174,-4.211,-1.343
0.007,-0.152,0.989,2.380,-3.845,-1.953
0.012,-0.140,0.988,0.183,-3.052,-2.808
0.019,-0.129,0.976,-1.526,-2.380,-3.479
0.023,-0.113,0.965,-2.869,-2.136,-3.845
0.019,-0.102,0.954,-3.174,-2.136,-3.906
0.017,-0.100,0.949,-2.441,-1.953,-3.662
0.022,-0.099,0.944,-2.136,-1.526,-3.723
0.035,-0.100,0.942,-2.197,-0.732,-3.540
0.046,-0.101,0.938,-2.563,0.000,-2.930
0.050,-0.094,0.932,-2.808,0.488,-1.587
0.039,-0.092,0.931,-2.502,0.305,0.122
0.029,-0.093,0.934,-1.221,-0.183,1.587
0.024,-0.090,0.930,-0.916,0.244,2.014
0.024,-0.086,0.920,-0.549,0.732,2.502
0.020,-0.084,0.910,0.732,1.160,3.296
0.015,-0.090,0.905,2.869,0.977,4.211
0.004,-0.099,0.907,4.944,1.221,5.066
-0.007,-0.113,0.920,7.080,1.465,5.371
-0.014,-0.130,0.943,7.751,2.075,4.822
-0.017,-0.143,0.967,7.080,3.174,3.052
-0.003,-0.151,0.991,4.944,4.822,0.793
0.021,-0.156,1.005,1.892,6.409,-0.793
0.037,-0.157,1.014,-0.549,6.592,-1.160
0.044,-0.161,1.015,-2.258,5.310,-0.305
0.044,-0.159,1.004,-3.723,3.479,1.038
0.038,-0.163,0.990,-4.333,1.465,2.319
0.020,-0.163,0.970,-3.967,-0.366,3.662
0.001,-0.167,0.956,-3.113,-1.526,4.150
-0.009,-0.169,0.949,-1.892,-1.709,3.418
-0.012,-0.168,0.947,-1.038,-1.648,2.197
-0.008,-0.165,0.949,-0.427,-1.099,0.732
-0.006,-0.158,0.954,-0.183,-0.427,-0.549
0.001,-0.151,0.958,-0.183,0.244,-1.526
0.010,-0.146,0.962,-0.305,0.427,-2.380
0.022,-0.142,0.966,-0.671,0.610,-2.869
0.028,-0.134,0.966,-1.526,1.160,-2.686
0.034,-0.119,0.957,-2.869,1.770,-2.441
0.040,-0.106,0.947,-2.991,1.831,-1.892
0.043,-0.098,0.943,-1.831,1.404,-1.221
0.043,-0.096,0.948,-0.061,0.916,-0.610
0.045,-0.103,0.959,1.526,0.732,-0.061
0.049,-0.113,0.964,2.808,0.549,0.732
0.038,-0.118,0.966,2.930,0.916,1.282
0.662,-0.900,1.287,-24.963,-9.399,119.507
0.644,-1.162,1.245,-27.039,-16.785,117.676
0.556,-1.464,1.156,-28.748,-25.635,116.272
0.451,-1.746,1.016,-29.175,-32.654,114.258
0.289,-1.956,0.867,-28.137,-39.978,111.877
0.084,-2.119,0.750,-26.672,-47.363,105.347
-0.067,-2.294,0.631,-26.917,-50.293,91.797
-0.609,-3.984,3.091,-82.764,-32.043,80.811
-2.438,-3.804,-1.265,-297.363,71.655,59.692
-1.235,-3.637,0.269,-113.831,-0.366,-61.035
0.234,-2.241,0.673,114.929,-98.450,-149.414
0.871,-1.875,0.598,185.974,-136.108,-138.000
0.874,-2.384,0.849,109.680,-83.313,-72.571
0.197,-2.160,0.108,-46.387,38.635,-3.296
0.000,-1.535,-0.067,-95.337,70.923,-4.333
0.322,-1.261,-0.067,-54.504,50.049,-28.503
0.439,-1.239,0.217,13.977,26.550,-25.818
0.354,-1.229,0.567,72.937,-3.113,-10.925
0.228,-1.225,0.895,96.191,-21.973,2.563
0.127,-1.206,1.188,80.566,-13.611,11.169
0.116,-1.098,1.336,41.504,12.878,13.245
0.150,-0.883,1.355,1.221,39.063,9.399
0.162,-0.670,1.342,-27.100,51.208,-0.854
0.140,-0.463,1.317,-40.649,49.622,-16.724
0.122,-0.245,1.293,-39.001,41.992,-37.415
0.162,-0.007,1.254,-25.269,33.081,-62.195
0.289,0.247,1.224,-1.526,25.330,-83.679
0.323,0.477,1.254,28.748,18.311,-93.567
0.354,0.613,1.289,56.519,12.268,-93.079
0.314,0.709,1.372,71.106,6.836,-92.224
0.262,0.824,1.401,69.824,2.686,-90.515
0.213,0.903,1.422,55.481,-0.488,-88.013
0.193,0.955,1.390,31.433,-2.014,-82.825
0.153,1.007,1.301,5.310,-0.977,-76.843
0.091,1.046,1.195,-14.099,-2.319,-73.181
0.053,1.006,1.123,-24.292,-8.057,-70.801
0.052,0.953,1.055,-30.029,-9.460,-65.002
0.047,0.862,0.994,-30.884,-6.531,-56.396
0.008,0.779,0.950,-28.870,-7.446,-47.241
-0.056,0.728,0.912,-26.306,-9.705,-38.330
-0.142,0.647,0.878,-23.193,-10.498,-33.813
-0.186,0.594,0.857,-21.545,-11.353,-34.790
-0.188,0.576,0.832,-20.813,-11.780,-37.720
-0.172,0.567,0.816,-19.226,-12.085,-41.748
-0.157,0.530,0.811,-15.991,-12.146,-44.739
-0.122,0.483,0.798,-12.634,-12.390,-45.532
-0.087,0.433,0.787,-8.484,-10.620,-44.739
-0.054,0.371,0.786,-1.892,-7.935,-42.297
-0.019,0.294,0.802,6.531,-6.958,-37.537
-0.008,0.220,0.831,12.939,-7.080,-31.738
-0.007,0.177,0.848,16.174,-6.104,-25.391
-0.014,0.110,0.882,17.334,-5.371,-20.447
-0.033,0.053,0.915,16.235,-10.437,-18.372
-0.044,0.021,0.924,11.475,-5.981,-14.771
-0.039,-0.015,0.914,7.324,2.136,-13.245
-0.023,-0.043,0.917,4.333,5.798,-12.939
-0.007,-0.075,0.929,3.174,5.981,-12.451
-0.020,-0.124,0.943,4.089,4.395,-12.695
-0.027,-0.162,0.947,4.578,2.930,-13.428
-0.026,-0.181,0.947,3.723,3.601,-13.489
-0.026,-0.189,0.952,3.418,4.883,-12.634
-0.008,-0.197,0.947,2.747,5.371,-11.353
-0.009,-0.197,0.953,2.563,4.639,-9.277
-0.020,-0.197,0.960,2.197,3.662,-7.019
-0.030,-0.206,0.970,2.380,2.808,-5.554
-0.053,-0.212,0.983,3.174,1.648,-5.005
-0.074,-0.217,0.997,4.456,0.000,-5.615
-0.082,-0.223,1.010,5.310,-1.587,-7.996
-0.085,-0.225,1.023,5.432,-2.502,-10.803
-0.083,-0.225,1.034,4.150,-3.113,-13.489
-0.076,-0.221,1.038,1.526,-3.113,-15.137
-0.069,-0.206,1.036,-2.014,-2.502,-15.930
-0.056,-0.187,1.029,-5.493,-2.197,-15.930
-0.038,-0.159,1.011,-8.545,-2.258,-15.076
-0.022,-0.135,0.990,-9.338,-2.319,-13.550
-0.009,-0.111,0.969,-7.751,-2.808,-11.108
-0.005,-0.098,0.951,-5.127,-3.784,-7.751
-0.016,-0.095,0.941,-1.892,-4.456,-4.456
-0.039,-0.097,0.942,1.099,-5.188,-2.319
-0.054,-0.106,0.949,2.502,-5.188,-1.343
-0.064,-0.114,0.953,1.709,-4.395,-1.343
-0.064,-0.117,0.953,0.183,-3.113,-1.770
-0.062,-0.116,0.944,-1.526,-1.953,-2.258
-0.059,-0.115,0.938,-2.686,-0.732,-2.441
