aX,aY,aZ,gX,gY,gZ
1.894,-0.262,1.265,-131.836,46.631,-12.512
1.963,-0.324,1.199,-166.931,49.377,3.418
1.906,-0.246,1.073,-196.899,48.828,29.907
1.842,-0.209,0.987,-215.698,51.941,64.148
1.652,-0.122,0.871,-226.074,47.974,84.106
1.489,-0.017,0.774,-232.483,45.044,95.703
1.322,0.074,0.677,-240.967,46.997,101.074
1.193,0.084,0.575,-248.108,52.002,107.727
0.999,-0.012,0.453,-252.686,53.955,116.394
0.766,-0.117,0.319,-257.996,56.091,121.765
0.440,-0.188,0.089,-264.282,59.448,125.427
0.032,-0.224,-0.230,-272.827,71.655,128.113
-0.355,-0.156,-0.616,-278.137,99.731,123.230
-0.604,-0.021,-1.094,-271.912,141.479,105.469
-0.614,0.095,-1.555,-249.329,187.988,80.933
-0.474,0.121,-1.835,-213.989,219.849,63.538
-0.301,0.019,-1.981,-176.270,219.055,58.777
-0.259,-0.044,-1.971,-143.555,188.904,62.378
-1.115,0.219,-2.142,-116.943,139.038,72.021
-0.339,-0.057,-1.896,-90.332,144.470,75.562
-0.982,0.042,-2.203,-73.730,134.277,21.545
-0.684,0.111,-2.231,-64.453,138.672,-4.639
-0.536,0.162,-2.299,-64.636,122.986,-14.282
-0.435,0.199,-2.273,-55.847,109.558,-30.579
-0.435,0.146,-2.200,-43.701,81.970,-44.617
-0.292,0.166,-2.020,-39.246,50.720,-53.955
-0.208,0.141,-1.844,-33.447,11.414,-53.894
-0.116,0.120,-1.584,-23.621,-23.865,-59.814
-0.038,0.107,-1.350,-12.817,-48.706,-65.430
0.017,0.083,-1.160,-3.418,-56.396,-63.477
0.180,0.047,-0.985,10.864,-43.152,-59.631
0.382,-0.013,-0.880,28.015,-21.973,-66.040
0.653,-0.094,-0.798,43.152,-4.883,-69.763
0.885,-0.172,-0.734,52.368,0.000,-68.909
1.031,-0.241,-0.691,54.443,-7.874,-60.669
1.072,-0.264,-0.661,46.387,-25.879,-44.861
0.984,-0.186,-0.626,30.701,-44.922,-23.499
0.808,0.023,-0.601,11.353,-59.021,-3.052
0.634,0.288,-0.585,-4.822,-65.552,8.728
0.503,0.489,-0.569,-11.475,-61.035,9.399
0.442,0.589,-0.558,-7.996,-42.786,3.418
0.459,0.573,-0.584,2.991,-15.747,-2.991
0.523,0.489,-0.647,15.869,9.644,-8.850
0.593,0.359,-0.712,25.513,27.222,-13.184
0.647,0.216,-0.748,28.381,33.203,-16.785
0.691,0.098,-0.787,25.940,31.860,-17.883
0.707,0.038,-0.821,21.301,26.733,-15.381
0.711,0.028,-0.831,17.151,19.531,-11.047
0.708,0.040,-0.832,14.343,12.756,-6.958
0.685,0.075,-0.828,12.878,7.019,-3.113
0.645,0.115,-0.814,11.475,3.479,1.465
0.589,0.211,-0.821,10.010,0.793,6.104
0.551,0.259,-0.812,11.353,-0.854,8.545
0.500,0.325,-0.787,7.690,-4.517,8.179
0.475,0.366,-0.774,5.127,-5.066,6.042
0.478,0.370,-0.762,3.906,-3.540,1.282
0.508,0.344,-0.766,3.540,0.427,-2.991
0.543,0.299,-0.766,3.601,6.592,-6.531
0.581,0.243,-0.770,3.967,12.451,-8.789
0.614,0.194,-0.782,3.418,17.090,-9.399
0.639,0.172,-0.811,2.991,19.592,-9.094
0.655,0.152,-0.850,3.418,19.958,-7.874
0.657,0.137,-0.871,5.371,18.005,-5.127
0.635,0.148,-0.866,7.080,14.282,-1.282
0.595,0.185,-0.856,8.362,10.803,2.686
0.558,0.226,-0.839,9.094,8.362,5.493
0.533,0.260,-0.819,8.484,6.592,6.470
0.519,0.286,-0.798,6.714,4.395,5.371
0.515,0.290,-0.769,4.456,2.380,3.052
0.519,0.280,-0.753,3.784,3.418,1.221
0.540,0.283,-0.758,4.517,6.104,0.122
0.554,0.271,-0.774,6.775,8.911,-1.465
0.564,0.245,-0.775,10.132,10.254,-2.808
0.562,0.237,-0.789,14.160,10.986,-3.052
0.564,0.228,-0.787,18.127,12.634,-2.502
0.614,0.203,-0.795,21.423,13.733,-2.380
0.501,0.276,-0.880,23.376,10.864,-5.371
0.519,0.274,-0.829,21.484,11.292,-4.089
0.510,0.285,-0.843,19.958,10.925,-2.747
0.506,0.300,-0.842,19.592,9.521,-3.540
0.521,0.297,-0.828,20.874,8.423,-5.005
0.534,0.286,-0.844,23.682,7.629,-6.592
