0.870,1.790,-0.103,-19.897,-15.076,-151.672
0.848,2.050,-0.132,-64.087,-17.822,-183.655
0.722,2.331,-0.086,-79.346,-17.944,-194.580
0.746,2.526,-0.040,-60.852,-12.451,-184.875
0.561,2.685,0.197,-21.423,-19.897,-160.706
0.518,2.817,0.263,25.635,4.944,-114.380
0.407,2.794,0.333,63.477,24.536,-71.472
0.355,2.678,0.419,76.233,27.039,-42.419
0.243,2.520,0.460,61.157,18.433,-30.701
0.162,2.400,0.441,28.381,8.972,-33.630
0.161,2.307,0.283,-13.977,4.578,-49.255
0.161,2.218,0.114,-53.467,-5.188,-70.007
0.177,2.150,0.006,-76.599,-18.127,-83.740
0.228,2.084,-0.087,-76.782,-25.146,-87.524
0.248,2.043,-0.118,-58.838,-27.039,-83.008
0.251,2.006,-0.105,-29.419,-25.696,-70.068
0.254,1.930,-0.071,1.770,-21.729,-49.927
0.221,1.840,-0.003,27.161,-17.090,-25.940
0.151,1.729,0.103,46.265,-12.756,-2.380
0.086,1.588,0.200,53.162,-10.437,16.357
0.023,1.422,0.292,42.542,-11.780,25.208
0.012,1.266,0.309,22.522,-8.606,26.184
0.010,1.147,0.331,-0.977,-9.216,18.555
0.028,1.030,0.294,-20.874,-9.094,9.766
0.066,0.921,0.309,-27.649,-6.348,3.967
0.093,0.876,0.298,-22.278,-0.488,3.357
0.050,1.028,0.292,-10.986,2.991,6.775
0.038,1.326,0.275,5.127,-2.319,10.559
0.109,1.634,0.226,18.005,-15.076,14.709
0.132,1.801,0.196,18.738,-21.240,17.090
0.136,1.750,0.171,2.930,-15.137,20.630
0.124,1.618,0.205,-17.822,-7.751,27.466
0.076,1.430,0.195,-38.940,1.282,26.001
0.049,1.242,0.206,-53.284,8.484,19.653
0.042,1.051,0.216,-55.176,12.268,17.334
0.024,0.889,0.211,-47.363,14.893,19.287
0.040,0.758,0.187,-38.452,15.320,19.531
0.042,0.704,0.160,-28.442,9.705,16.724
0.045,0.674,0.156,-18.311,-1.099,10.925
0.073,0.671,0.148,-8.301,-11.353,5.981
0.127,0.695,0.110,5.798,-18.250,4.700
0.189,0.730,0.058,17.883,-19.226,6.042
0.228,0.772,0.039,21.790,-17.090,6.714
0.250,0.828,0.050,18.616,-13.550,4.822
0.262,0.874,0.074,9.705,-10.193,0.916
0.265,0.923,0.114,-1.892,-8.423,-3.113
0.259,0.966,0.122,-11.719,-6.714,-6.653
0.286,1.017,0.124,-18.616,-5.493,-8.545
0.248,1.005,0.140,-21.606,-5.127,-8.789
0.238,1.017,0.133,-19.470,-5.188,-7.996
0.235,1.019,0.134,-15.381,-7.141,-7.629
0.231,1.035,0.123,-12.085,-10.437,-7.874
0.232,1.036,0.087,-10.132,-11.108,-8.179
0.225,1.025,0.071,-10.071,-11.047,-8.484
0.217,1.014,0.063,-10.315,-9.399,-8.179
0.205,0.998,0.093,-11.230,-6.775,-7.629
0.179,0.973,0.121,-11.658,-3.540,-7.324
0.162,0.944,0.141,-11.353,0.366,-6.348
0.157,0.930,0.128,-10.925,5.066,-5.188
0.161,0.915,0.118,-9.705,8.362,-5.188
0.166,0.918,0.073,-7.629,8.850,-6.714
0.167,0.943,0.047,-2.563,7.263,-7.080
0.181,0.973,0.003,3.113,4.639,-6.470
0.210,1.002,-0.049,5.371,3.479,-4.517
0.236,1.021,-0.069,6.042,4.761,-2.136
0.238,1.019,-0.049,5.371,7.812,0.366
