1.167,-1.857,0.223,-30.884,-63.354,179.382
1.159,-2.072,0.284,-8.911,-56.824,180.298
1.108,-2.269,0.328,11.536,-47.119,179.321
1.084,-2.449,0.327,25.696,-29.541,170.898
1.088,-2.622,0.317,32.166,-13.611,156.067
1.042,-2.722,0.329,25.818,-7.080,133.545
0.940,-2.725,0.347,8.118,-9.460,106.567
0.849,-2.730,0.374,-9.155,-17.334,82.581
0.781,-2.723,0.383,-21.973,-26.184,66.101
0.739,-2.696,0.338,-18.372,-31.494,56.152
0.697,-2.627,0.231,-0.244,-31.433,52.917
0.685,-2.521,0.132,18.250,-24.963,53.772
0.652,-2.412,0.022,28.320,-12.939,49.622
0.600,-2.282,-0.016,27.710,-1.160,38.696
0.521,-2.141,-0.004,14.709,8.240,25.085
0.436,-1.999,0.059,-7.202,13.733,10.742
0.356,-1.863,0.136,-31.555,15.320,-1.953
0.276,-1.753,0.211,-52.856,12.146,-10.620
0.223,-1.636,0.301,-66.650,4.578,-14.404
0.180,-1.536,0.309,-64.209,-3.235,-12.573
0.158,-1.463,0.312,-52.368,-10.559,-7.996
0.170,-1.373,0.333,-37.598,-15.930,-3.418
0.183,-1.333,0.326,-17.517,-16.052,2.258
0.227,-1.435,0.307,3.052,-13.733,7.446
0.273,-1.638,0.295,19.592,-12.451,7.507
0.306,-1.664,0.214,24.353,-10.132,-2.502
0.297,-1.640,0.182,23.987,-7.935,-17.578
0.243,-1.530,0.123,19.897,-5.737,-29.907
0.182,-1.435,0.071,11.047,-6.775,-39.734
0.149,-1.344,0.038,1.099,-9.949,-45.288
0.133,-1.248,0.031,-2.441,-12.512,-42.542
0.120,-1.156,0.025,2.808,-11.841,-33.203
0.113,-1.073,0.037,8.484,-8.911,-22.217
0.117,-0.996,0.069,8.789,-5.981,-13.184
0.119,-0.927,0.087,6.592,-3.906,-6.409
0.139,-0.868,0.106,2.502,-2.197,-1.282
0.163,-0.834,0.095,-0.549,0.000,4.517
0.203,-0.787,0.144,-2.808,2.014,10.193
